CustomerId,transaction_count,total_amount,avg_amount,std_amount,min_amount,max_amount,total_value,fraud_count
CustomerId_1,1,-10000.0,-10000.0,,-10000.0,-10000.0,10000,0
CustomerId_10,1,-10000.0,-10000.0,,-10000.0,-10000.0,10000,0
CustomerId_1001,5,20000.0,4000.0,6558.96,-5000.0,10000.0,30400,0
CustomerId_1002,11,4225.0,384.09,560.5,-75.0,1500.0,4775,0
CustomerId_1003,6,20000.0,3333.33,6030.48,-5000.0,10000.0,32000,0
CustomerId_1004,1,2000.0,2000.0,,2000.0,2000.0,2000,0
CustomerId_1005,9,48800.0,5422.22,5983.68,-5000.0,10000.0,61200,0
CustomerId_1006,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1007,1,28000.0,28000.0,,28000.0,28000.0,28000,0
CustomerId_1008,2,20000.0,10000.0,0.0,10000.0,10000.0,20000,0
CustomerId_1009,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1010,7,26335.0,3762.14,4971.8,-1000.0,10000.0,31975,0
CustomerId_1012,74,124906.0,1687.92,3441.49,-1100.0,22000.0,132894,0
CustomerId_1014,8,763880.0,95485.0,119332.84,1000.0,300000.0,763880,0
CustomerId_1016,5,20000.0,4000.0,6745.37,-5000.0,10000.0,32000,0
CustomerId_1020,203,292195.0,1439.38,2500.45,-100.0,10000.0,298605,0
CustomerId_1021,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1022,1,7000.0,7000.0,,7000.0,7000.0,7000,0
CustomerId_1025,16,17200.0,1075.0,1803.65,-1000.0,5000.0,19800,0
CustomerId_1027,14,26770.0,1912.14,3484.27,-50.0,10000.0,27230,0
CustomerId_1028,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1029,9,51000.0,5666.67,8692.67,-5000.0,20000.0,75000,0
CustomerId_1030,8,2350.0,293.75,713.86,-1000.0,1000.0,4650,0
CustomerId_1031,50,106838.8,2136.78,4615.4,-5000.0,23000.0,145322,0
CustomerId_1032,2,2000.0,1000.0,0.0,1000.0,1000.0,2000,0
CustomerId_1033,2,950.0,475.0,742.46,-50.0,1000.0,1050,0
CustomerId_1034,16,40508.0,2531.75,7896.61,-5000.0,28000.0,63752,0
CustomerId_1036,3,-50.0,-16.67,1000.42,-1000.0,1000.0,2050,0
CustomerId_1038,5,19000.0,3800.0,6685.81,-5000.0,10000.0,31000,0
CustomerId_1039,30,248895.0,8296.5,10395.94,-5000.0,22050.0,278257,0
CustomerId_1040,1,50000.0,50000.0,,50000.0,50000.0,50000,0
CustomerId_1043,6,14000.0,2333.33,6976.15,-5000.0,10000.0,36000,0
CustomerId_1044,16,21848.5,1365.53,2064.19,-622.0,6000.0,24268,0
CustomerId_1048,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1050,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1052,7,56900.0,8128.57,18504.48,-1000.0,50000.0,59100,0
CustomerId_1053,7,13788.0,1969.71,1911.44,-12.0,4000.0,13812,0
CustomerId_1054,52,159000.0,3057.69,6112.96,-1000.0,30000.0,164700,0
CustomerId_1055,5,5850.0,1170.0,1338.66,-100.0,3000.0,6150,0
CustomerId_1056,4,5500.0,1375.0,1108.68,500.0,3000.0,5500,0
CustomerId_1057,2,4504.0,2252.0,3886.26,-496.0,5000.0,6246,0
CustomerId_1058,29,13815.0,476.38,597.27,-100.0,2000.0,15809,0
CustomerId_1059,9,40000.0,4444.44,6463.57,-5000.0,10000.0,62000,0
CustomerId_1063,12,13325.0,1110.42,1608.66,-1000.0,5000.0,15675,0
CustomerId_1064,42,191650.0,4563.1,6424.72,-5000.0,20000.0,256230,0
CustomerId_1068,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1070,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1071,7,236290.0,33755.71,57242.85,-1610.0,120000.0,241710,0
CustomerId_1073,1,1000.0,1000.0,,1000.0,1000.0,1000,0
CustomerId_1074,46,167500.0,3641.3,5656.41,-14500.0,10000.0,268700,0
CustomerId_1078,6,19000.0,3166.67,7626.71,-5000.0,10000.0,41000,0
CustomerId_1079,1,20000.0,20000.0,,20000.0,20000.0,20000,0
CustomerId_1080,1,5000.0,5000.0,,5000.0,5000.0,5000,0
CustomerId_1081,2,1500.0,750.0,353.55,500.0,1000.0,1500,0
CustomerId_1082,5,19000.0,3800.0,6685.81,-5000.0,10000.0,31000,0
CustomerId_1083,1,500.0,500.0,,500.0,500.0,500,0
CustomerId_1084,1,10000.0,10000.0,,10000.0,10000.0,10000,0
CustomerId_1085,4,2900.0,725.0,1517.4,-1000.0,2000.0,5100,0
CustomerId_1086,32,77576.0,2424.25,4114.99,-250.0,15000.0,79354,0
CustomerId_1087,9,40000.0,4444.44,6463.57,-5000.0,10000.0,62000,0
CustomerId_1089,152,169651.5,1116.13,1695.01,-175.0,10000.0,175729,0
CustomerId_1091,2,3000.0,1500.0,707.11,1000.0,2000.0,3000,0
CustomerId_1092,16,65000.0,4062.5,5801.94,-5000.0,10000.0,97000,0
CustomerId_1093,55,42620.0,774.91,1912.92,-3500.0,5200.0,81340,0
CustomerId_1094,7,32460.0,4637.14,9189.94,-5000.0,20000.0,46190,0
CustomerId_1095,11,4875.0,443.18,764.53,-1000.0,2000.0,7125,0
