CustomerId,recency,frequency,total_amount,cluster,is_high_risk
CustomerId_1,84,1,-10000.0,0,1
CustomerId_10,84,1,-10000.0,0,1
CustomerId_1001,90,5,20000.0,0,1
CustomerId_1002,26,11,4225.0,1,0
CustomerId_1003,12,6,20000.0,1,0
CustomerId_1004,53,1,2000.0,0,1
CustomerId_1005,47,9,48800.0,0,1
CustomerId_1006,65,1,1000.0,0,1
CustomerId_1007,82,1,28000.0,0,1
CustomerId_1008,66,2,20000.0,0,1
CustomerId_1009,28,1,500.0,1,0
CustomerId_1010,42,7,26335.0,0,1
CustomerId_1012,5,74,124906.0,1,0
CustomerId_1014,50,8,763880.0,0,1
CustomerId_1016,5,5,20000.0,1,0
CustomerId_1020,27,203,292195.0,1,0
CustomerId_1021,78,1,5000.0,0,1
CustomerId_1022,35,1,7000.0,1,0
CustomerId_1025,12,16,17200.0,1,0
CustomerId_1027,1,14,26770.0,1,0
CustomerId_1028,26,1,500.0,1,0
CustomerId_1029,8,9,51000.0,1,0
CustomerId_1030,31,8,2350.0,1,0
CustomerId_1031,15,50,106838.8,1,0
CustomerId_1032,34,2,2000.0,1,0
CustomerId_1033,67,2,950.0,0,1
CustomerId_1034,9,16,40508.0,1,0
CustomerId_1036,91,3,-50.0,0,1
CustomerId_1038,12,5,19000.0,1,0
CustomerId_1039,12,30,248895.0,1,0
CustomerId_1040,38,1,50000.0,0,1
CustomerId_1043,47,6,14000.0,0,1
CustomerId_1044,48,16,21848.5,0,1
CustomerId_1048,43,1,1000.0,0,1
CustomerId_1050,54,1,5000.0,0,1
CustomerId_1052,24,7,56900.0,1,0
CustomerId_1053,90,7,13788.0,0,1
CustomerId_1054,5,52,159000.0,1,0
CustomerId_1055,82,5,5850.0,0,1
CustomerId_1056,56,4,5500.0,0,1
CustomerId_1057,91,2,4504.0,0,1
CustomerId_1058,5,29,13815.0,1,0
CustomerId_1059,12,9,40000.0,1,0
CustomerId_1063,2,12,13325.0,1,0
CustomerId_1064,6,42,191650.0,1,0
CustomerId_1068,53,1,500.0,0,1
CustomerId_1070,26,1,5000.0,1,0
CustomerId_1071,3,7,236290.0,1,0
CustomerId_1073,72,1,1000.0,0,1
CustomerId_1074,5,46,167500.0,1,0
CustomerId_1078,47,6,19000.0,0,1
CustomerId_1079,45,1,20000.0,0,1
CustomerId_1080,31,1,5000.0,1,0
CustomerId_1081,14,2,1500.0,1,0
CustomerId_1082,47,5,19000.0,0,1
CustomerId_1083,32,1,500.0,1,0
CustomerId_1084,71,1,10000.0,0,1
CustomerId_1085,58,4,2900.0,0,1
CustomerId_1086,5,32,77576.0,1,0
CustomerId_1087,33,9,40000.0,1,0
CustomerId_1089,37,152,169651.5,1,0
CustomerId_1091,25,2,3000.0,1,0
CustomerId_1092,19,16,65000.0,1,0
CustomerId_1093,33,55,42620.0,1,0
CustomerId_1094,25,7,32460.0,1,0
CustomerId_1095,12,11,4875.0,1,0
CustomerId_1096,7,784,1949226.0,1,0
CustomerId_1098,3,1,20000.0,1,0
CustomerId_1099,25,9,6180.0,1,0
CustomerId_11,84,1,-10000.0,0,1
CustomerId_1101,53,9,60000.0,0,1
CustomerId_1102,6,14,60000.0,1,0
CustomerId_1103,48,1,30000.0,0,1
CustomerId_1104,5,10,40000.0,1,0
CustomerId_1105,27,1,500.0,1,0
CustomerId_1106,88,1,10000.0,0,1
CustomerId_1108,2,14,50000.0,1,0
CustomerId_1109,47,8,39800.0,0,1
CustomerId_1111,69,3,-20.0,0,1
CustomerId_1112,12,6,20000.0,1,0
CustomerId_1113,65,23,29700.0,0,1
CustomerId_1114,1,57,52925.0,1,0
CustomerId_1116,5,8,5960.0,1,0
CustomerId_1117,74,1,4000.0,0,1
CustomerId_1118,1,24,70000.0,1,0
CustomerId_1119,27,7,5450.0,1,0
CustomerId_1120,63,2,1960.0,0,1
CustomerId_1121,16,7,12097.02,1,0
CustomerId_1122,65,1,1850000.0,0,1
CustomerId_1123,47,1,1000.0,0,1
CustomerId_1124,33,6,19000.0,1,0
CustomerId_1125,32,1,5000.0,1,0
CustomerId_1127,5,37,92135.0,1,0
CustomerId_1129,75,2,1000.0,0,1
CustomerId_1130,78,4,3960.0,0,1
CustomerId_1131,2,11,16550.0,1,0
CustomerId_1134,1,9,3380.0,1,0
CustomerId_1135,24,14,71000.0,1,0
CustomerId_1137,54,20,80000.0,0,1
CustomerId_1140,45,3,3750.0,0,1
CustomerId_1141,9,49,145465.0,1,0
CustomerId_1145,39,4,9500.0,0,1
CustomerId_1146,47,6,19000.0,0,1
CustomerId_1147,12,18,80000.0,1,0
CustomerId_1150,74,2,2000.0,0,1
CustomerId_1153,58,1,3000.0,0,1
CustomerId_1154,1,9,5475.0,1,0
CustomerId_1156,2,368,1488224.0,1,0
CustomerId_1158,89,8,30000.0,0,1
CustomerId_1159,5,5,20000.0,1,0
CustomerId_1160,1,15,48890.0,1,0
CustomerId_1161,25,1,2500.0,1,0
CustomerId_1162,6,7,4465.0,1,0
CustomerId_1163,1,14,50000.0,1,0
CustomerId_1164,68,6,19000.0,0,1
CustomerId_1165,36,5,54000.0,1,0
CustomerId_1169,5,3,-50.0,1,0
CustomerId_1170,10,18,107074.0,1,0
CustomerId_1171,45,6,3925.0,0,1
CustomerId_1172,14,84,235759.7,1,0
CustomerId_1174,90,1,1000.0,0,1
CustomerId_1175,1,241,8942702.5,1,0
CustomerId_1177,4,4,28878.0,1,0
CustomerId_1179,21,3,900.0,1,0
CustomerId_1180,12,67,143406.0,1,0
CustomerId_1182,6,4,10000.0,1,0
CustomerId_1183,20,18,45075.0,1,0
CustomerId_1184,75,1,1000.0,0,1
CustomerId_1186,77,4,5900.0,0,1
CustomerId_1187,55,7,39000.0,0,1
CustomerId_1189,38,2,3000.0,0,1
CustomerId_1190,12,15,80000.0,1,0
CustomerId_1191,5,6,20500.0,1,0
CustomerId_1192,5,22,41565.0,1,0
CustomerId_1193,54,4,9000.0,0,1
CustomerId_1194,55,4,9000.0,0,1
CustomerId_1195,54,6,19000.0,0,1
CustomerId_1196,48,6,19000.0,0,1
CustomerId_1197,55,4,9000.0,0,1
CustomerId_1198,55,4,9000.0,0,1
CustomerId_12,84,1,-10000.0,0,1
CustomerId_1200,48,4,9000.0,0,1
CustomerId_1201,2,173,542517.5,1,0
CustomerId_1202,1,29,130000.0,1,0
CustomerId_1203,1,45,38530.0,1,0
CustomerId_1204,47,4,9000.0,0,1
CustomerId_1208,85,9,19770.0,0,1
CustomerId_1209,20,6,30000.0,1,0
CustomerId_1210,77,3,25000.0,0,1
CustomerId_1211,85,2,200000.0,0,1
CustomerId_1212,51,17,39000.0,0,1
CustomerId_1214,7,44,104825.0,1,0
CustomerId_1215,74,1,1000.0,0,1
CustomerId_1217,48,9,29000.0,0,1
CustomerId_1218,1,72,139055.0,1,0
CustomerId_1219,26,6,3850.0,1,0
CustomerId_1220,19,13,40000.0,1,0
CustomerId_1221,6,5,20000.0,1,0
CustomerId_1222,10,45,82980.0,1,0
CustomerId_1223,4,3,21500.0,1,0
CustomerId_1224,6,1,10000.0,1,0
